AY,FY Appeared, SY Appeared,Last Year Appeared,Last Year Passed,% Progression 
,Admitted,Passed From F.Y + DSY,Passed From S.Y,,
,,,,,
2018-19 ,34,90,87,85,74
2019-20,11,66,64,62,50.75
2020-21,19,53,45,43,40
2021-22,7,18,17,,14
2022-23,13,25,,,19
2023-24,9,,,,9
