"AY,FY Appeared Regular,FY Appeared DSY,SY Appeared Regular,SY Appeared DSY,TY Appeared Regular,TY Appeared DSY,B.Tech Appeared Regular,B.Tech Appeared DSY,B.Tech Passed Regular,B.Tech Passed DSY,% Progression Regular,% Progression DSY"
"2018-19,34,0,30,60,25,55,25,50,24,48,27.6,42.6"
"2019-20,11,0,10,50,9,45,8,44,8,43,9.2,36.4"
"2020-21,19,0,15,40,43,33,40,31,,,"
"2021-22,7,0,7,25,7,22,,,,"
"2022-23,13,0,12,8,,,,"
"2023-24,9,0,,,,,,,"
