AY,FY Appeared, SY Appeared,TY Appeared,B.Tech Appeared,B.Tech Passed,% Progression
2018-19,70,90,87,86,84,76.2
2019-20,75,92,92,91,87,52
2020-21,80,90,91,90,,
2021-22,80,95,94,,,
2022-23,82,96,,,,
2023-24,9,,,,,
