AY,FY Appeared, SY Appeared,TY Appeared,B.Tech Appeared,B.Tech Passed,% Progression
,Admitted,Passed From F.Y + DSY,Passed From S.Y,Passed From T.Y,Passed From B.Tech,
,,,,,,
2018-19,20,25,22,21,21,76.2
2019-20,21,27,25,23,23,52
2020-21,18,20,18,17,,
2021-22,15,20,17,,,
2022-23,22,21,,,,
2023-24,25,,,,,
